Source Name,RA,Dec,Significance,Energy Flux,L_BL Lac,L_FSRQ
4FGL J0525.6-6013,81.4207,-60.2279,23.7200,$(5.6\pm0.45)	imes10^{-12}$,0.9866,0.0134
4FGL J2023.4+4127,305.8711,41.4508,10.1100,$(13.7\pm2.14)	imes10^{-12}$,0.9865,0.0135
4FGL J1800.1+2812,270.0299,28.2034,7.7900,$(1.8\pm0.34)	imes10^{-12}$,0.9864,0.0136
4FGL J1003.4+0205,150.8627,2.0877,7.1700,$(1.6\pm0.35)	imes10^{-12}$,0.9864,0.0136
4FGL J0957.8+3423,149.4707,34.3975,17.3900,$(3.2\pm0.40)	imes10^{-12}$,0.9863,0.0137
4FGL J0549.0+3258c,87.2698,32.9686,9.0600,$(3.6\pm0.60)	imes10^{-12}$,0.9861,0.0139
4FGL J1713.7+8844,258.4472,88.7376,5.8700,$(1.1\pm0.25)	imes10^{-12}$,0.9861,0.0139
4FGL J1344.4-3656,206.1246,-36.9335,11.9100,$(4.1\pm0.48)	imes10^{-12}$,0.9860,0.0140
4FGL J1858.1+7318,284.5460,73.3127,8.4500,$(1.8\pm0.31)	imes10^{-12}$,0.9860,0.0140
4FGL J1447.0-2657,221.7652,-26.9621,7.7500,$(2.0\pm0.38)	imes10^{-12}$,0.9860,0.0140
4FGL J1131.1-0944,172.7912,-9.7355,8.7900,$(2.1\pm0.37)	imes10^{-12}$,0.9856,0.0144
4FGL J1828.0+2634,277.0215,26.5718,6.7700,$(1.9\pm0.37)	imes10^{-12}$,0.9855,0.0145
4FGL J0532.9+6936,83.2500,69.6066,5.4200,$(1.1\pm0.28)	imes10^{-12}$,0.9849,0.0151
4FGL J0557.6-0721,89.4165,-7.3512,5.7800,$(2.0\pm0.50)	imes10^{-12}$,0.9849,0.0151
4FGL J2022.0-7224,305.5072,-72.4095,8.9500,$(1.9\pm0.31)	imes10^{-12}$,0.9847,0.0153
4FGL J0348.2+6035,57.0541,60.5904,9.9100,$(3.3\pm0.52)	imes10^{-12}$,0.9847,0.0153
4FGL J0452.0+2100,73.0072,21.0033,4.3400,$(1.3\pm0.39)	imes10^{-12}$,0.9844,0.0156
4FGL J0140.6+8736,25.1688,87.6062,6.8100,$(2.1\pm0.37)	imes10^{-12}$,0.9842,0.0158
4FGL J2240.7-4746,340.1865,-47.7736,9.4900,$(1.7\pm0.29)	imes10^{-12}$,0.9841,0.0159
4FGL J0438.7-3441,69.6792,-34.6858,4.9000,$(0.9\pm0.24)	imes10^{-12}$,0.9841,0.0159
4FGL J0919.3-2202,139.8482,-22.0472,4.3300,$(1.0\pm0.30)	imes10^{-12}$,0.9839,0.0161
4FGL J0648.1+1605,102.0403,16.0928,6.0000,$(1.9\pm0.44)	imes10^{-12}$,0.9836,0.0164
4FGL J0338.9-2848,54.7447,-28.8009,21.3300,$(5.3\pm0.43)	imes10^{-12}$,0.9834,0.0166
4FGL J2026.6+3449,306.6528,34.8291,9.7600,$(6.7\pm1.19)	imes10^{-12}$,0.9834,0.0166
4FGL J1956.1+0234,299.0385,2.5720,5.8500,$(2.4\pm0.51)	imes10^{-12}$,0.9831,0.0169
4FGL J1132.2-4736,173.0557,-47.6130,13.1000,$(4.2\pm0.47)	imes10^{-12}$,0.9826,0.0174
4FGL J2226.5+6901c,336.6294,69.0208,7.1800,$(1.8\pm0.42)	imes10^{-12}$,0.9826,0.0174
4FGL J0529.1+0935,82.2970,9.5975,9.7600,$(4.0\pm0.60)	imes10^{-12}$,0.9825,0.0175
4FGL J2359.3+0215,359.8329,2.2603,7.7700,$(1.2\pm0.27)	imes10^{-12}$,0.9824,0.0176
4FGL J0052.9-6644,13.2490,-66.7363,8.1300,$(1.5\pm0.25)	imes10^{-12}$,0.9823,0.0177
4FGL J0029.4+2051,7.3665,20.8662,8.3700,$(1.2\pm0.32)	imes10^{-12}$,0.9823,0.0177
4FGL J1037.0-1954,159.2720,-19.9048,5.5800,$(1.3\pm0.35)	imes10^{-12}$,0.9823,0.0177
4FGL J1902.4-0629,285.6021,-6.4843,5.8100,$(2.0\pm0.56)	imes10^{-12}$,0.9823,0.0177
4FGL J2001.9-5737,300.4909,-57.6308,12.2000,$(2.8\pm0.43)	imes10^{-12}$,0.9822,0.0178
4FGL J0206.4+3829,31.6172,38.4948,6.0400,$(1.3\pm0.29)	imes10^{-12}$,0.9820,0.0180
